order_id,order_date,product_id,product_name,category,city,store_type,quantity,price,discount,revenue
1,2024-02-22 01:19:00,P014,Product_14,Sports,Kolkata,Offline,2,340.59,3.05,681.18
2,2024-08-18 08:27:00,P039,Product_39,Clothing,Delhi,Online,1,254.3,6.06,254.3
3,2024-04-17 11:19:00,P048,Product_48,Home,Ahmedabad,Offline,2,145.33,4.57,290.66
4,2024-07-16 22:03:00,P016,Product_16,Home,Ahmedabad,Online,4,289.95,4.48,1159.8
5,2024-05-26 15:15:00,P014,Product_14,Sports,Chennai,Offline,1,340.59,2.79,340.59
6,2024-10-03 00:27:00,P015,Product_15,Beauty,Mumbai,Offline,3,277.25,4.34,831.75
7,2024-11-08 03:44:00,P027,Product_27,Home,Delhi,Online,1,308.4,0.82,308.4
8,2024-12-11 04:25:00,P031,Product_31,Sports,Ahmedabad,Online,4,108.6,7.44,434.4
9,2024-09-13 23:04:00,P028,Product_28,Home,Mumbai,Offline,3,399.6,5.03,1198.8000000000002
10,2024-08-14 16:34:00,P046,Product_46,Home,Hyderabad,Online,1,117.34,5.69,117.34
11,2024-05-01 04:34:00,P031,Product_31,Sports,Kolkata,Online,3,108.6,9.96,325.79999999999995
12,2024-11-07 00:37:00,P047,Product_47,Clothing,Pune,Online,2,327.39,4.0,654.78
13,2024-08-27 12:45:00,P024,Product_24,Clothing,Pune,Online,4,306.65,6.03,1226.6
14,2024-10-14 01:27:00,P004,Product_4,Clothing,Chennai,Offline,1,289.13,6.06,289.13
15,2024-07-23 10:42:00,P016,Product_16,Home,Kolkata,Offline,2,289.95,4.93,579.9
16,2024-01-08 16:34:00,P013,Product_13,Clothing,Pune,Online,2,219.87,8.68,439.74
17,2024-08-13 23:58:00,P032,Product_32,Home,Mumbai,Offline,4,380.77,6.46,1523.08
18,2024-05-21 05:36:00,P007,Product_7,Electronics,Chennai,Online,3,142.3,7.07,426.90000000000003
19,2024-03-02 03:24:00,P022,Product_22,Beauty,Kolkata,Offline,3,215.44,6.65,646.3199999999999
20,2024-11-17 09:04:00,P030,Product_30,Clothing,Hyderabad,Offline,2,289.08,2.05,578.16
21,2024-01-29 13:39:00,P007,Product_7,Electronics,Kolkata,Offline,1,142.3,4.24,142.3
22,2024-12-25 16:06:00,P016,Product_16,Home,Chennai,Online,4,289.95,5.35,1159.8
23,2024-08-16 02:50:00,P027,Product_27,Home,Bangalore,Online,2,308.4,3.39,616.8
24,2024-10-06 16:09:00,P029,Product_29,Home,Hyderabad,Offline,2,375.58,7.64,751.16
