order_id,order_date,product_id,product_name,category,city,store_type,quantity,price,discount,revenue
1,2024-02-22 01:19:00,P014,Product_14,Sports,Kolkata,Offline,2,340.59,3.05,678.13
2,2024-08-18 08:27:00,P039,Product_39,Clothing,Delhi,Online,1,254.3,6.06,248.24
3,2024-04-17 11:19:00,P048,Product_48,Home,Ahmedabad,Offline,2,145.33,4.57,286.09
4,2024-07-16 22:03:00,P016,Product_16,Home,Ahmedabad,Online,4,289.95,4.48,1155.32
5,2024-05-26 15:15:00,P014,Product_14,Sports,Chennai,Offline,1,340.59,2.79,337.8
6,2024-10-03 00:27:00,P015,Product_15,Beauty,Mumbai,Offline,3,277.25,4.34,827.41
7,2024-11-08 03:44:00,P027,Product_27,Home,Delhi,Online,1,308.4,0.82,307.58
8,2024-12-11 04:25:00,P031,Product_31,Sports,Ahmedabad,Online,4,108.6,7.44,426.96
9,2024-09-13 23:04:00,P028,Product_28,Home,Mumbai,Offline,3,399.6,5.03,1193.77
10,2024-08-14 16:34:00,P046,Product_46,Home,Hyderabad,Online,1,117.34,5.69,111.65
11,2024-05-01 04:34:00,P031,Product_31,Sports,Kolkata,Online,3,108.6,9.96,315.84
12,2024-11-07 00:37:00,P047,Product_47,Clothing,Pune,Online,2,327.39,4.0,650.78
13,2024-08-27 12:45:00,P024,Product_24,Clothing,Pune,Online,4,306.65,6.03,1220.57
14,2024-10-14 01:27:00,P004,Product_4,Clothing,Chennai,Offline,1,289.13,6.06,283.07
15,2024-07-23 10:42:00,P016,Product_16,Home,Kolkata,Offline,2,289.95,4.93,574.97
16,2024-01-08 16:34:00,P013,Product_13,Clothing,Pune,Online,2,219.87,8.68,431.06
17,2024-08-13 23:58:00,P032,Product_32,Home,Mumbai,Offline,4,380.77,6.46,1516.62
18,2024-05-21 05:36:00,P007,Product_7,Electronics,Chennai,Online,3,142.3,7.07,419.83
19,2024-03-02 03:24:00,P022,Product_22,Beauty,Kolkata,Offline,3,215.44,6.65,639.67
20,2024-11-17 09:04:00,P030,Product_30,Clothing,Hyderabad,Offline,2,289.08,2.05,576.11
21,2024-01-29 13:39:00,P007,Product_7,Electronics,Kolkata,Offline,1,142.3,4.24,138.06
22,2024-12-25 16:06:00,P016,Product_16,Home,Chennai,Online,4,289.95,5.35,1154.45
23,2024-08-16 02:50:00,P027,Product_27,Home,Bangalore,Online,2,308.4,3.39,613.41
24,2024-10-06 16:09:00,P029,Product_29,Home,Hyderabad,Offline,2,375.58,7.64,743.52
25,2024-11-02 20:35:00,P013,Product_13,Clothing,Hyderabad,Offline,2,219.87,7.38,432.36
26,2024-01-17 09:56:00,P016,Product_16,Home,Bangalore,Offline,3,289.95,9.17,860.68
27,2024-04-17 12:33:00,P040,Product_40,Clothing,Mumbai,Online,2,23.01,5.96,40.06
28,2024-05-25 04:24:00,P038,Product_38,Sports,Ahmedabad,Offline,2,184.81,8.53,361.09
29,2024-03-02 16:23:00,P026,Product_26,Home,Ahmedabad,Online,3,331.15,7.58,985.87
30,2024-12-12 12:44:00,P024,Product_24,Clothing,Pune,Online,4,306.65,6.78,1219.82
31,2024-08-09 04:28:00,P044,Product_44,Electronics,Bangalore,Online,4,90.55,6.33,355.87
32,2024-01-27 02:16:00,P023,Product_23,Clothing,Chennai,Offline,2,241.48,2.3,480.66
33,2024-11-14 21:53:00,P011,Product_11,Home,Ahmedabad,Online,4,244.34,4.92,972.44
34,2024-10-31 07:10:00,P026,Product_26,Home,Hyderabad,Offline,3,331.15,2.0,991.45
35,2024-02-28 02:27:00,P017,Product_17,Clothing,Pune,Offline,4,371.13,5.42,1479.1
36,2024-02-10 21:59:00,P018,Product_18,Beauty,Kolkata,Offline,3,342.83,4.13,1024.36
37,2024-11-29 01:08:00,P044,Product_44,Electronics,Hyderabad,Online,2,90.55,2.06,179.04
38,2024-05-15 14:39:00,P009,Product_9,Sports,Hyderabad,Online,2,188.18,6.18,370.18
39,2024-05-22 20:18:00,P030,Product_30,Clothing,Bangalore,Offline,4,289.08,6.1,1150.22
40,2024-11-19 20:12:00,P013,Product_13,Clothing,Hyderabad,Offline,3,219.87,3.8,655.81
41,2024-04-30 09:07:00,P040,Product_40,Clothing,Bangalore,Offline,2,23.01,1.75,44.27
